stateTime,ProveCommitSector,PreCommitSector,ProveCommitAggregate,PreCommitSectorBatch,PublishStorageDeals,SubmitWindowedPoSt,Others
"2021-06-05","35396.5692","12001.4160","0.0000","0.0000","124.4771","959.8508","56.1242"
"2021-06-06","37072.0867","11382.5205","0.0000","0.0000","116.9376","904.6868","59.5774"
"2021-06-07","36052.5619","11697.2744","0.0000","0.0000","142.4644","925.8836","58.6137"
"2021-06-08","36014.4841","11870.5029","0.0000","0.0000","195.0663","895.1274","59.7063"
"2021-06-09","36275.8903","11028.2947","0.0000","0.0000","181.5496","908.9744","58.7066"
"2021-06-10","36052.6869","10825.1352","0.0000","0.0000","211.3687","917.9552","50.4583"
"2021-06-11","35265.8073","11799.0102","0.0000","0.0000","163.2739","940.4526","42.5468"
"2021-06-12","35489.7877","11527.5008","0.0000","0.0000","155.0546","909.6359","57.0069"
"2021-06-13","34931.0397","11559.6515","0.0000","0.0000","180.6461","1001.2417","46.7848"
"2021-06-14","35697.4268","11779.7477","0.0000","0.0000","148.8933","930.2382","56.2064"
"2021-06-15","35524.8728","11854.9524","0.0000","0.0000","146.1808","945.6527","61.3715"
"2021-06-16","34986.8661","11586.4583","0.0000","0.0000","138.8199","907.9342","52.6213"
"2021-06-17","35884.7965","11539.0660","0.0000","0.0000","206.0465","969.3527","52.2282"
"2021-06-18","35540.0732","11095.5596","0.0000","0.0000","186.9068","909.6549","38.5471"
"2021-06-19","36491.6486","11466.3727","0.0000","0.0000","160.4311","953.3159","107.3726"
"2021-06-20","35293.1851","11457.5613","0.0000","0.0000","158.3430","938.4148","118.1706"
"2021-06-21","34901.5591","11386.0031","0.0000","0.0000","123.4833","961.6025","48.7881"
"2021-06-22","35615.9602","10901.1696","0.0000","0.0000","171.5049","988.8974","47.0570"
"2021-06-23","36147.5464","10811.9036","0.0000","0.0000","162.2158","965.4569","364.7374"
"2021-06-24","36227.2469","11025.4379","0.0000","0.0000","236.7609","992.6852","108.4182"
"2021-06-25","37042.0259","11456.8030","0.0000","0.0000","128.4262","968.4310","48.8085"
"2021-06-26","36682.9984","10860.9028","0.0000","0.0000","197.0654","917.4484","40.8851"
"2021-06-27","35997.8567","10954.3687","0.0000","0.0000","88.6436","946.5522","59.1146"
"2021-06-28","33061.2394","10456.9709","0.0000","0.0000","32.0919","962.6728","55.7368"
"2021-06-29","24805.1047","7465.0864","20.4682","23.7052","53.2507","951.6509","115.3189"
"2021-06-30","23018.5320","4273.1535","1033.6266","697.1472","58.4233","1055.7423","101.0276"
"2021-07-01","37822.0755","6116.6523","973.0222","758.1128","48.1768","1034.6890","54.7545"
"2021-07-02","38466.9795","6811.1556","1222.8925","874.4571","45.9474","975.9523","45.3281"
"2021-07-03","36632.8929","7364.3420","1312.8393","782.8292","67.6892","956.1595","46.7603"
"2021-07-04","36608.2874","7952.9728","1456.3077","914.0813","64.8113","1085.9883","68.3530"
"2021-07-05","35595.3622","8951.4760","1493.9940","783.9851","32.0750","1024.9498","50.9239"
"2021-07-06","34283.3826","10093.2097","2044.1343","820.9722","14.2202","1019.7694","44.6432"
"2021-07-07","33965.4791","10524.8868","2211.7645","1106.1502","7.7619","1052.9510","41.3151"
"2021-07-08","34608.8062","10642.3368","2200.4589","1153.7649","21.8757","1047.7728","40.7731"
"2021-07-09","34015.0310","10774.5078","2400.5357","1247.8253","9.0021","1023.7186","49.8083"
"2021-07-10","34632.5553","9859.8154","2259.4178","1391.2290","15.7241","989.8857","36.5321"
"2021-07-11","34124.5040","9005.8058","2309.0666","1431.2780","17.0131","1026.4087","46.6466"
"2021-07-12","34015.8985","8862.4546","2373.3745","1516.9632","11.3547","1100.5632","46.7215"
"2021-07-13","33051.0923","9688.3108","2735.7637","1647.1394","11.3710","1071.8626","73.2684"
"2021-07-14","33659.7317","9129.6389","3049.6360","1856.1207","9.1711","1059.6991","44.6106"
"2021-07-15","32461.1203","8586.6396","2887.6610","1864.0084","18.2509","1083.5380","89.2294"
"2021-07-16","33592.1200","8251.2981","2784.8420","1995.9917","6.8692","1240.9088","72.1574"
"2021-07-17","34154.5897","8134.3609","2556.2680","1967.6709","4.5288","1114.6414","38.7331"
"2021-07-18","34930.5114","7706.3646","2455.1126","1859.7024","8.5223","1058.2075","43.7311"
"2021-07-19","34113.9517","8509.9594","2618.7101","1862.3758","9.2704","1230.7706","64.5545"
